province_code,province,area_type,year,period,value,date,metric
7500,Gorontalo,L Real Estate,2022,Triwulan I,201.65,2022-03-01,pdrb_adhb_quarterly
7500,Gorontalo,L Real Estate,2022,Triwulan II,205.05,2022-06-01,pdrb_adhb_quarterly
7500,Gorontalo,L Real Estate,2022,Triwulan III,206.92,2022-09-01,pdrb_adhb_quarterly
7500,Gorontalo,L Real Estate,2022,Triwulan IV,207.1,2022-12-01,pdrb_adhb_quarterly
7500,Gorontalo,L Real Estate,2022,Tahunan,820.71,2022-12-01,pdrb_adhb_quarterly
7500,Gorontalo,L Real Estate,2023,Triwulan I,202.57,2023-03-01,pdrb_adhb_quarterly
7500,Gorontalo,L Real Estate,2023,Triwulan II,198.41,2023-06-01,pdrb_adhb_quarterly
7500,Gorontalo,L Real Estate,2023,Triwulan III,206.36,2023-09-01,pdrb_adhb_quarterly
7500,Gorontalo,L Real Estate,2023,Triwulan IV,212.92,2023-12-01,pdrb_adhb_quarterly
7500,Gorontalo,L Real Estate,2023,Tahunan,820.26,2023-12-01,pdrb_adhb_quarterly
7500,Gorontalo,"M,N Jasa Perusahaan",2022,Triwulan I,10.16,2022-03-01,pdrb_adhb_quarterly
7500,Gorontalo,"M,N Jasa Perusahaan",2022,Triwulan II,10.95,2022-06-01,pdrb_adhb_quarterly
7500,Gorontalo,"M,N Jasa Perusahaan",2022,Triwulan III,10.48,2022-09-01,pdrb_adhb_quarterly
7500,Gorontalo,"M,N Jasa Perusahaan",2022,Triwulan IV,11.21,2022-12-01,pdrb_adhb_quarterly
7500,Gorontalo,"M,N Jasa Perusahaan",2022,Tahunan,42.8,2022-12-01,pdrb_adhb_quarterly
7500,Gorontalo,"M,N Jasa Perusahaan",2023,Triwulan I,10.45,2023-03-01,pdrb_adhb_quarterly
7500,Gorontalo,"M,N Jasa Perusahaan",2023,Triwulan II,10.17,2023-06-01,pdrb_adhb_quarterly
7500,Gorontalo,"M,N Jasa Perusahaan",2023,Triwulan III,10.49,2023-09-01,pdrb_adhb_quarterly
7500,Gorontalo,"M,N Jasa Perusahaan",2023,Triwulan IV,11.22,2023-12-01,pdrb_adhb_quarterly
7500,Gorontalo,"M,N Jasa Perusahaan",2023,Tahunan,42.33,2023-12-01,pdrb_adhb_quarterly
7500,Gorontalo,"O Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",2022,Triwulan I,628.55,2022-03-01,pdrb_adhb_quarterly
7500,Gorontalo,"O Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",2022,Triwulan II,727.32,2022-06-01,pdrb_adhb_quarterly
